country,population,gdppercapita,gunsper100,gunstotal,homicidetotal,homicidesper100,region
Tajikistan,7581696,278.9403281,1,65000,15,0.22,CIS
Kyrgyz Republic,5464567,376.0840211,0.9,45000,28,0.54,CIS
Nepal,26875910,269.24519,0.8,205000,84,0.3,Asia & Pacific
Lithuania,3122835,5332.530607,0.7,135000,6,0.18,Europe
Romania,20298838,2636.787677,0.7,160000,5,0.02,Europe
Sierra Leone,5775902,268.3072782,0.6,34000,128,2.28,Africa
Japan,127319802,39971.78745,0.6,710000,11,0.01,Asia & Pacific
Bangladesh,151616777,558.062385,0.5,700000,1456,1.12,Asia & Pacific
Singapore,5078961,32640.68442,0.5,22000,1,0.02,Asia & Pacific
Yemen,23591972,608.5960601,54.8,11500000,1866,7.45,Arab States
Iraq,30868156,736.2721224,34.2,9750000,1772,6.3,Arab States
