country,population,gdppercapita,gunsper100,gunstotal,homicidetotal,homicidesper100,region
Sri Lanka,20201312.00,1309.00,1.50,300000.00,291.00,1.48,Asia & Pacific
Malaysia,28119500.00,5169.00,1.50,370000.00,64.00,0.24,Asia & Pacific
Congo - Dem. Rep.,65938712.00,106.00,1.40,800000.00,248.00,1.56,Africa
Uganda,33149417.00,380.00,1.40,400000.00,280.00,0.87,Africa
Ecuador,14934692.00,1728.00,1.30,370000.00,1790.00,12.73,South/Latin America
Kazakhstan,16310624.00,2482.00,1.30,200000.00,210.00,1.34,CIS
Poland,38574682.00,6574.00,1.30,510000.00,35.00,0.09,Europe
South Korea,49090041.00,16219.00,1.10,510000.00,14.00,0.03,Asia & Pacific
Tajikistan,7581696.00,279.00,1.00,65000.00,15.00,0.22,CIS
Kyrgyz Republic,5464567.00,376.00,0.90,45000.00,28.00,0.54,CIS
Nepal,26875910.00,269.00,0.80,205000.00,84.00,0.30,Asia & Pacific
Lithuania,3122835.00,5333.00,0.70,135000.00,6.00,0.18,Europe
Romania,20298838.00,2637.00,0.70,160000.00,5.00,0.02,Europe
Sierra Leone,5775902.00,268.00,0.60,34000.00,128.00,2.28,Africa
Japan,127319802.00,39972.00,0.60,710000.00,11.00,0.01,Asia & Pacific
Bangladesh,151616777.00,558.00,0.50,700000.00,1456.00,1.12,Asia & Pacific
Singapore,5078961.00,32641.00,0.50,22000.00,1.00,0.02,Asia & Pacific
Yemen,23591972.00,609.00,54.80,11500000.00,1866.00,7.45,Arab States
Iraq,30868156.00,736.00,34.20,9750000.00,1772.00,6.30,Arab States
